,virus,serum,fraction infectivity,concentration,replicate
16,PV,RVC58,0.0,1000.0,3
17,PV,RVC58,0.0,200.0,3
18,PV,RVC58,2.214113033237988e-05,40.0,3
19,PV,RVC58,-3.321169549856982e-05,8.0,3
20,PV,RVC58,0.07914347037309188,1.6,3
21,PV,RVC58,0.5180692380821906,0.32,3
22,PV,RVC58,0.720107052365157,0.064,3
23,PV,RVC58,0.7974903028768248,0.0128,3
24,PV,RVC58,0.00014391734716046923,1000.0,4
25,PV,RVC58,2.214113033237988e-05,200.0,4
26,PV,RVC58,7.749395616332958e-05,40.0,4
27,PV,RVC58,4.428226066475976e-05,8.0,4
28,PV,RVC58,0.10780516358835764,1.6,4
29,PV,RVC58,0.6119808423869799,0.32,4
30,PV,RVC58,0.7627840810808193,0.064,4
31,PV,RVC58,0.9444852671534948,0.0128,4
32,PV,CTB012,0.17127271368612457,120.0,5
33,PV,CTB012,0.7682307991425847,24.0,5
34,PV,CTB012,0.9150818460720943,4.8,5
35,PV,CTB012,0.8527877758819435,0.96,5
36,PV,CTB012,1.0356845829925676,0.192,5
37,PV,CTB012,0.9463119104059161,0.0384,5
38,PV,CTB012,0.8442080878781463,0.00768,5
39,PV,CTB012,1.1439768514482376,0.001536,5
40,PV,CTB012,0.2292492634614613,120.0,6
41,PV,CTB012,0.6630050772379493,24.0,6
42,PV,CTB012,0.76655914380249,4.8,6
43,PV,CTB012,0.8440530999658197,0.96,6
44,PV,CTB012,0.7801870095220699,0.192,6
45,PV,CTB012,0.8222551571535917,0.0384,6
46,PV,CTB012,0.9067457105019533,0.00768,6
47,PV,CTB012,0.8640022583952939,0.001536,6
48,PV,RVA122,2.214113033237988e-05,500.0,7
49,PV,RVA122,0.0,100.0,7
50,PV,RVA122,4.428226066475976e-05,20.0,7
51,PV,RVA122,0.006908032663702523,4.0,7
52,PV,RVA122,0.37338802192525433,0.8,7
53,PV,RVA122,0.6548350001453012,0.16,7
54,PV,RVA122,0.8426471381897135,0.032,7
55,PV,RVA122,0.9054061721168443,0.0064,7
56,PV,RVA122,6.642339099713964e-05,500.0,8
57,PV,RVA122,1.107056516618994e-05,100.0,8
58,PV,RVA122,3.321169549856982e-05,20.0,8
59,PV,RVA122,0.03380950601754408,4.0,8
60,PV,RVA122,0.3212235188621673,0.8,8
61,PV,RVA122,0.6480819553939253,0.16,8
62,PV,RVA122,0.8317204903706841,0.032,8
63,PV,RVA122,0.9986092602509974,0.0064,8
64,PV,CR57,2.214113033237988e-05,1000.0,9
65,PV,CR57,5.53528258309497e-05,200.0,9
66,PV,CR57,5.53528258309497e-05,40.0,9
67,PV,CR57,0.007616548834338679,8.0,9
68,PV,CR57,0.18283038371962687,1.6,9
69,PV,CR57,0.6935709076617997,0.32,9
70,PV,CR57,0.8740875432616929,0.064,9
71,PV,CR57,0.8634044478763196,0.0128,9
72,PV,CR57,-5.53528258309497e-05,1000.0,10
73,PV,CR57,0.0,200.0,10
74,PV,CR57,0.0001107056516618994,40.0,10
75,PV,CR57,0.015974825534812085,8.0,10
76,PV,CR57,0.1933695617578397,1.6,10
77,PV,CR57,0.6895855042019714,0.32,10
78,PV,CR57,0.8972582361545285,0.064,10
79,PV,CR57,1.0691398309247935,0.0128,10
16,PV,17C7,0.1072006220714105,50.0,3
17,PV,17C7,0.6935772905136535,10.0,3
18,PV,17C7,0.7892288529265081,2.0,3
19,PV,17C7,0.7043374446412217,0.4,3
20,PV,17C7,1.0431917695167225,0.08,3
21,PV,17C7,0.7306558504700696,0.016,3
22,PV,17C7,0.8453575415246408,0.0032,3
23,PV,17C7,0.783253863495094,0.00064,3
24,PV,17C7,0.17112783583651872,50.0,4
25,PV,17C7,0.7031088212732903,10.0,4
26,PV,17C7,0.8866392866871383,2.0,4
27,PV,17C7,0.9078750716360171,0.4,4
28,PV,17C7,0.9180532462735126,0.08,4
29,PV,17C7,0.6093713247388973,0.016,4
30,PV,17C7,0.740743494964665,0.0032,4
31,PV,17C7,0.5996458008159029,0.00064,4
32,PV,RVC68,0.011768918577027814,1000.0,5
